OBJECTID,Identificador,Nombre,Horario,Dirección,Localidad,Número de cupos,Tipología,Tipo de sello,coord_x,coord_y
436,8,City Parking Park 85,24 h,CL 85 16 07,Chapinero,60,Público,Oro,"-74,0562668913873","4,670048819277629"
437,9,City Parking Body 83,L-J 04:00 - 24:00  V 04:00 - 22:00 S 06:00 - 20:00 D-F 06:00 - 18:00,KR 19 B  83  05,Chapinero,36,Público,Oro,"-74,05932550041952","4,670080864138611"
438,10,City Parking Torre Zimma,L-V 06:00 - 21:00 S 07:00 - 16:00,KR 15 88  64,Chapinero,60,Público,Oro,"-74,0532443173744","4,674005939813128"
439,11,City Parking BodyTech Plaza,L-V 04:00 - 22:00  S 06:00 - 21:00,AK 19 102 31,Usaquén,30,Público,Oro,"-74,05190221727196","4,6878941427560665"
440,12,City Parking World Business Center,L-V 05:30 - 22:00  S 06:00 - 22:00 D 06:00 - 18:00 F 10:00 - 18:00,AK 86  51 66,Engativá,20,Público,Oro,"-74,1172728307031","4,68092347402084"
441,13,City Parking Buro 26,24 h,AC 26 102 20,Fontibón,41,Público,Oro,"-74,13021154511634","4,689494724444063"
442,14,City Parking Cargo Port,24 h,AC 26 106 39,Fontibón,83,Público,Oro,"-74,1358249996475","4,692468000429646"
443,15,Porvenir,L-V 07:00 - 20:00,KR 13 26 A 65,Santa Fé,36,Privado,Oro,"-74,07051851694447","4,615145928658937"
444,16,Universidad del Rosario - Sede Quinta de Mutis,L-V 07:00 - 20:00 S 07:00 - 14:00,KR 24 63 C 69,Barrios Unidos,200,Privado,Oro,"-74,07205770472532","4,6540867682197895"
445,17,Microsoft,L-V 07:00 - 20:00,CL 92 11 51,Chapinero,25,Privado,Oro,"-74,0483767960074","4,673600124267369"
446,18,Universidad del Rosario,L-V 07:00 - 20:00,CL 12C 6 25,La Candelaria,185,Privado,Oro,"-74,07311305180932","4,600435750160276"
447,19,Bavaria,L-V 07:00 - 22:00,KR 53A 127 35,Suba,99,Privado,Oro,"-74,06170306968536","4,70885761475366"
448,20,Universidad de los Andes,L-V 07:00 - 22:00,KR 1 18 A 12,La Candelaria,440,Privado,Oro,"-74,06639510695824","4,601444779843868"
449,21,Parking International Hotel Atton,L-V 07:00 - 20:00,CL 93 12 41,Chapinero,16,Público,Oro,"-74,04928574824281","4,67515964227837"
450,22,City Parking Universidad Catolica de Colombia,L-V 05:30 - 23:00 S 06:00 - 18:00,AK 13 47 30,Chapinero,44,Público,Oro,"-74,0659424656495","4,634479563787151"
451,23,Parking International Claustro de la EnseÃ±anza,L-V 06:00 - 22:00 S 06:00 - 18:00,CL 70A 8 00,Chapinero,40,Público,Oro,"-74,057372207259","4,654351111381207"
452,24,Torre Colpatria,L-V 05:30 - 22:00 S 06:00 - 14:00,KR 7  24 89,Santa Fé,165,Privado,Oro,"-74,07006345287942","4,610986054954376"
454,26,City Parking Centro Comercial SHOW PLACE,L-V 04:00 - 24:00  S 06:00 - 23:00 D-F 06:00 - 22:00,AC 147 7 70,Usaquén,22,Público,Plata,"-74,02731653078976","4,723300355103294"
456,55,Centro Comercial Tintal,24h,AK 86 6 37,Kennedy,140,Público,Oro,"-74,15541178435575","4,641769220804194"
457,56,Centro Comercial Plaza de las Americas,24h,KR 71D 6 94 SUR,Kennedy,320,Público,Oro,"-74,13720634355147","4,618442851668561"
458,57,Centro Comercial Centro Mayor,L-D 06:00 - 22:00,CL 38A SUR 34D 50,Antonio Nariño,300,Público,Oro,"-74,12315707788508","4,591668802317803"
459,58,"Edifico Av, Chile","L-S 06,00 - 22:30  D 06:00 - 16:00",CL 72 71 21,Engativá,200,Público,Oro,"-74,09428796092185","4,686495214801907"
460,59,Universidad Central (Sede Centro),"L-S 06,00 - 22:30  D 06:00 - 16:00",CL 21 4 40,Santa Fé,126,Privado,Oro,"-74,06865732266014","4,6056090431921834"
461,60,Tribunales - Rama Judicial,L-V 07:00 - 20:00,KR 57 43 91,Teusaquillo,60,Privado,Oro,"-74,09393274729557","4,646599417079067"
463,62,Portal Américas,L-D 05:00 - 24:00,Troncal Americas,Kennedy,785,Transmilenio,Oro,"-74,17294200018851","4,6290539997573"
464,63,Estación Transversal 86,L-D 05:00 - 24:00,Troncal Americas,Kennedy,84,Transmilenio,Oro,"-74,1529530002017","4,635052999559043"
465,64,Estación Banderas,L-D 05:00 - 24:00,Troncal Americas,Kennedy,101,Transmilenio,Oro,"-74,14554599991698","4,6312559997809535"
466,65,Estación Mundo Aventura,L-D 05:00 - 24:00,Troncal Americas,Kennedy,32,Transmilenio,Oro,"-74,13522399977298","4,630139999815538"
467,66,Estación Marsella,L-D 05:00 - 24:00,Troncal Americas,Kennedy,32,Transmilenio,Oro,"-74,12860300020901","4,62948799992284"
468,67,Estación Pradera,L-D 05:00 - 24:00,Troncal Americas,Puente Aranda,32,Transmilenio,Oro,"-74,11968500037877","4,628609000408773"
469,68,Portal del Sur,L-D 05:00 - 24:00,Troncal NQS Sur,Bosa,409,Transmilenio,Oro,"-74,1693510001116","4,596727000105764"
470,69,Estación General Santander,L-D 05:00 - 24:00,Troncal NQS Sur,Puente Aranda,48,Transmilenio,Oro,"-74,12829699988727","4,593475999732891"
471,70,Estación Ricaurte,L-D 05:00 - 24:00,Troncal NQS Central,Los Mártires,165,Transmilenio,Oro,"-74,09029200031486","4,612809000068794"
472,71,Estación Intermedia Bicentenario,L-D 05:00 - 24:00,Troncal AV 10,Santa Fé,116,Transmilenio,Oro,"-74,08211500010121","4,593585000406162"
474,73,Portal Eldorado,L-D 05:00 - 24:00,Troncal Calle 26,Engativá,532,Transmilenio,Oro,"-74,12062699983683","4,680425999659666"
475,74,"Estación Av, Rojas",L-D 05:00 - 24:00,Troncal Calle 26,Fontibón,104,Transmilenio,Oro,"-74,10890700012516","4,662150999886342"
476,75,Estación Quinta Paredes,L-D 05:00 - 24:00,Troncal Calle 26,Teusaquillo,48,Transmilenio,Oro,"-74,09252599993368","4,636561999962388"
477,76,Portal 80,L-D 05:00 - 24:00,Troncal Calle 80,Engativá,353,Transmilenio,Oro,"-74,11041299964783","4,709575000341412"
478,77,Tribunales - Cundinamarca,L-V 07:00 - 20:00,AC 24 53 28,Teusaquillo,93,Privado,Oro,"-74,09912688172683","4,64029015571637"
479,78,Centro Comercial Parque La Colina,L-D 08:00 - 22:00,KR 72 145 2,Suba,260,Público,Oro,"-74,06683355398717","4,734265508430418"
480,79,Corporación de la industria aeronautica Colombiana,L-V 07:00 - 20:00,AC 26 103 08,Fontibón,48,Privado,Oro,"-74,13109397099971","4,689224874955945"
481,80,Corporación Colombiana de Logística,L-V 07:00 - 20:00,AC 22 68B 75,Fontibón,35,Privado,Oro,"-74,1132889003344","4,647779184632174"
482,81,Novartis,L-S 07:00 - 20:00,CL 93 B 16 31,Chapinero,70,Privado,Oro,"-74,0520058981271","4,679073783593738"
483,83,Parqueadero Palermo,L-V 06:00 - 22:00,KR 24 45 C   20,Teusaquillo,12,Público,Plata,"-74,07487402734563","4,636152909920018"
484,84,Parqueadero Los Magníficos,L-V 07:00 - 20:00,KR 26 51 63,Teusaquillo,12,Público,Plata,"-74,07560838392071","4,6406004177536575"
485,85,Famar,L-D 06:00 - 20:00,CL 14A 18 74 SUR,Antonio Nariño,12,Público,Plata,"-74,09961562902178","4,587385409995607"
486,27,Centro Comercial METRO 127,24 h,CL 127 15A 03,Usaquén,22,Público,Plata,"-74,04366608725135","4,703997235061507"
487,28,City Parking Cll 109,L 06:00 - 23:00 M-J 06:00 - 21:00 V 06:00 - 22:00 S 06:00 - 21:00 D-F 09:00 - 17:00,AK 19 109 50,Usaquén,14,Público,Plata,"-74,05032569371126","4,695633354912272"
488,29,PARQUEADERO BODYTECH,24 h,AK 7 61 47,Chapinero,12,Público,Plata,"-74,06053069727267","4,646694550266704"
489,30,City Parking Universidad Manuela Beltran,L-V 06:00 - 22:30 S 06:00 - 19:00,AV Circunvalar 60 00,Chapinero,20,Público,Plata,"-74,05745123205452","4,643686616765787"
490,31,City Parking FONADE,L-V 05:30 - 22:00 S 07:00 - 18:00,KR 13 25 31,Santa Fé,20,Público,Plata,"-74,07167337939565","4,612600012377304"
491,32,"City Parking Cll, 82",L-M 06:00 - 23:00 J-S 06:00 - 03:00 D-F 08:00 - 17:00,CL 82 10 69,Chapinero,18,Público,Plata,"-74,05271159305474","4,665461698409152"
492,33,"City Parking Cr, 11A",L-M 06:00 - 23:00 J-S 06:00 - 03:00 D-F 08:00 - 17:00,KR 11A 88 49,Chapinero,15,Público,Plata,"-74,04990240215949","4,6719586710956005"
493,34,Bazaar Alsacia,24 h,Cl 12B 71 D 61,Kennedy,24,Público,Plata,"-74,12964472973162","4,645338665426616"
494,35,City Parking BODYTECH KENNEDY,L-J 05:00 - 23:00 V 05:00 - 21:00 S 07:00 - 18:00 D-F 07:00 - 16:00,TV 78J 41F 05 SUR,Kennedy,20,Público,Plata,"-74,15948311361508","4,618480907893095"
495,36,City Parking BODYTECH SULTANA,L-J 07:00 - 18:00 V 05:00 - 21:00 S 07:00 - 18:00 D-F 07:00 - 16:00,CL 12 SUR 31 37,Antonio Nariño,26,Público,Plata,"-74,10834871783733","4,5979028920157505"
497,38,City Parking BODYTECH COLINA,L-J 04:00 - 24:00 V 04:00 - 22:00 S-D-F 06:00 - 22:00,CL 138 58 74,Suba,15,Público,Plata,"-74,06608531035609","4,728945884941091"
498,39,City Parking BODYTECH NORMANDIA,L-J 05:00 - 23:00 V 05:00 - 21:0 S 07:00 - 18:00 D-F 07:00 - 16:00,AK 72 49 15,Engativá,20,Público,Plata,"-74,11012474374789","4,66830182911977"
499,40,Centro Comercial Iserra 100,L-D 06:00 - 22:00,TV 55 98 A 66,Barrios Unidos,197,Público,Plata,"-74,06459721785028","4,687820715682539"
500,41,Centro Comercial Fiesta Fontibon,L-D 06:00 - 20:00,KR 100 18 59,Fontibón,22,Público,Plata,"-74,14426660761123","4,674445683554132"
501,42,City Parking Homi,24 h,AK 14 1 13,Los Mártires,38,Público,Plata,"-74,0883407741778","4,592784707816436"
502,43,City Parking Cll 95,L-M 06:00 - 23:00 J-S 06:00 - 03:00 D-F 08:00 - 17:00,CL 95  11 A 67,Chapinero,20,Público,Plata,"-74,04728594391014","4,679507239000404"
503,44,Sura,L-V 07:00 - 20:00,KR 11 93 46,Chapinero,30,Privado,Plata,"-74,04727550458821","4,674757301269295"
505,46,Instituto Nacional de Salud,L-V 07:00 - 20:00,CL 26 51 20,Teusaquillo,45,Privado,Oro,"-74,09494798280548","4,641435165735546"
507,48,Pontificia Universidad Javeriana,"L-V 06,00 - 22:00  S-D 06:00 - 12:00",KR 7  40 62,Chapinero,382,Privado,Oro,"-74,06313522679338","4,629054805603853"
508,49,Centro Comercial Palatino,L-D 09:00 - 02:00,AK 7 138 33,Usaquén,50,Público,Oro,"-74,02901682602695","4,715295647066419"
509,50,Centro Comercial Paseo San Rafael,L-D 07:00 - 01:00,CL 134 55 30,Suba,100,Público,Oro,"-74,0625083931679","4,722875480304089"
510,51,Centro Comercial Andino,D-J 06:00 - 01:00  V-S 06:00 - 03:00,KR 12 82 50,Chapinero,400,Público,Oro,"-74,05392228130924","4,66660406205201"
511,52,Centro Comercial Titan,L-D 05:00 - 03:00,AK 72 80 94,Engativá,250,Público,Plata,"-74,08661552643697","4,695749136915693"
