xcoord,ycoord
-74.0685635,4.594105
-74.0684324,4.5955723
-74.0684324,4.5955723
-74.0690233,4.5956123
-74.0690233,4.5956123
-74.0690233,4.5956123
-74.0690233,4.5956123
-74.0689808,4.5956338
-74.0689808,4.5956338
-74.0686517,4.5963679
-74.0691602,4.5965796
-74.0691602,4.5965796
-74.0681417,4.596916
-74.0681417,4.596916
-74.0689266,4.5969845
-74.0689266,4.5969845
-74.0685253,4.5978591
-74.0685253,4.5978591
-74.0684294,4.5978788
-74.0684294,4.5978788
-74.0690644,4.5979979
-74.0690644,4.5979979
-74.0680909,4.5985112
-74.0680508,4.59853
-74.0681805,4.5985312
-74.0684089,4.5986839
-74.0685729,4.5987926
-74.0686776,4.5988606
-74.0680451,4.5991799
-74.0680451,4.5991799
-74.0674011,4.5993404
-74.0674011,4.5993404
-74.0674011,4.5993404
-74.0674011,4.5993404
-74.068421,4.5993945
-74.0677253,4.5995742
-74.0680734,4.599849
-74.0680734,4.599849
-74.0680734,4.599849
-74.0680734,4.599849
-74.0680734,4.599849
-74.0680734,4.599849
-74.0679007,4.600111
-74.0690433,4.6003896
-74.0690433,4.6003896
-74.067722,4.6004229
-74.0658968,4.6004474
-74.0676978,4.6004771
-74.0676978,4.6004771
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0686501,4.6008947
-74.0666489,4.6009067
-74.0666489,4.6009067
-74.0666489,4.6009067
-74.0666489,4.6009067
-74.0682936,4.6011366
-74.0682618,4.6011602
-74.0681842,4.6012178
-74.0674571,4.601519
-74.0674571,4.601519
-74.0674571,4.601519
-74.0677221,4.6016321
-74.0677221,4.6016321
-74.0672508,4.6024328
-74.0672508,4.6024328
-74.0672363,4.6024555
-74.067287,4.6024617
-74.0654106,4.6027468
-74.0654106,4.6027468
-74.066924,4.602775
-74.066924,4.602775
-74.0660035,4.6028666
-74.0660035,4.6028666
-74.0660035,4.6028666
-74.0660695,4.6028871
-74.0660695,4.6028871
-74.0651928,4.6032911
-74.0651825,4.6033019
-74.0777499,4.5918763
-74.0780931,4.5920758
-74.0786574,4.5924254
-74.0786574,4.5924254
-74.0761424,4.598812
-74.0761424,4.598812
-74.076811,4.6016401
-74.076852,4.6016674
-74.0755105,4.6019819
-74.0755342,4.6019966
-74.0755342,4.6019966
-74.0766143,4.6020384
-74.0766143,4.6020384
-74.0765219,4.6020469
-74.0757201,4.6021122
-74.0755412,4.6019852
-74.0755105,4.6019819
-74.0767114,4.5978552
-74.075845,4.5973505
-74.0761424,4.598812
-74.0754086,4.598344
-74.0761424,4.598812
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688419,4.6007917
-74.0688345,4.6008591
-74.0688345,4.6008591
-74.0686501,4.6008947
-74.0682936,4.6011366
-74.0682954,4.6011969
-74.0682954,4.6011969
-74.0682618,4.6011602
-74.0681842,4.6012178
-74.0680899,4.601161
-74.0712142,4.5992598
-74.0710937,4.599182
-74.0710627,4.6004379
-74.0708188,4.5990041
-74.0704244,4.6001988
-74.0703087,4.6005992
-74.0711305,4.5993894
-74.0712142,4.5992598
-74.0704933,4.5995172
-74.0707699,4.5996908
-74.0704933,4.5995172
-74.0708188,4.5990041
-74.0703087,4.6005992
-74.0701605,4.6007099
-74.0711305,4.5993894
